日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-20,6861,61500.0,202511,65000.0,4619.21,1395.8814910601575,0.388101,58000.0,311186861,1259.6463013861503,,0.388101
2025-10-20,6954,4740.0,202511,5000.0,329.26,87.73365347834442,0.341548,4600.0,311056954,120.82962146870524,,0.341548
2025-10-20,7203,3003.0,202511,3200.0,232.05,45.95300135244088,0.337129,2900.0,311167203,69.59187043477436,,0.337129
2025-10-20,7974,12865.0,202511,13500.0,961.42,394.7506174203854,0.441137,12250.0,311087974,372.490485261882,,0.441137
2025-10-20,8035,31410.0,202511,33000.0,2802.78,1435.9022211652973,0.581088,29750.0,311498035,1306.6258717654546,,0.581088
2025-10-20,8306,2325.0,202511,2400.0,134.74,70.83897096955468,0.385367,2200.0,311158306,49.36932708937377,,0.385367
2025-10-20,9432,159.0,202511,175.0,15.98,0.0976581276782937,0.177476,150.0,311069432,0.4926196636984095,,0.177476
2025-10-20,9984,24985.0,202511,26250.0,2635.65,1599.322686153908,0.743374,23750.0,311399984,1508.3498118809605,,0.743374
2025-10-21,2914,4982.0,202511,5250.0,297.38,43.16505831381778,0.235253,4700.0,311152914,34.987622883340805,,0.235253
2025-10-21,3382,2016.5,202511,2200.0,186.64,6.69007144963885,0.236254,1900.0,311023382,13.840330564264208,,0.236254
2025-10-21,4063,4923.0,202511,5250.0,387.71,82.69355778466183,0.354823,4700.0,311194063,103.57737224501444,,0.354823
2025-10-21,4502,4273.0,202511,4500.0,258.27,44.4762986242248,0.253227,4100.0,311124502,53.84256479117266,,0.253227
2025-10-21,5108,6733.0,202511,7000.0,308.53,58.7445149504224,0.200663,6500.0,311025108,62.91523400113306,,0.200663
2025-10-21,5401,614.5999755859375,202511,640.0,34.77,12.031833220242843,0.313566,580.0,311125401,8.410154886862955,,0.313566
2025-10-21,5713,5300.0,202511,5500.0,276.22,97.78268458210891,0.292246,5000.0,311075713,62.068896850495776,,0.292246
